region,molecular_type,synapse_class,L4_BP|bAC,L4_BP|bIR,L4_BP|bNAC,L4_BP|cAC,L4_BP|cNAC,L4_BP|dSTUT,L4_BTC|bAC,L4_BTC|cAC,L4_BTC|cNAC,L4_ChC|cAC,L4_ChC|cNAC,L4_ChC|dNAC,L4_DBC|bAC,L4_DBC|bIR,L4_DBC|bNAC,L4_DBC|cAC,L4_LBC|bAC,L4_LBC|bNAC,L4_LBC|cAC,L4_LBC|cNAC,L4_LBC|cSTUT,L4_LBC|dNAC,L4_MC|bAC,L4_MC|bNAC,L4_MC|cAC,L4_MC|cNAC,L4_MC|dNAC,L4_NBC|bAC,L4_NBC|cAC,L4_NBC|cIR,L4_NBC|cNAC,L4_NGC|bNAC,L4_NGC|cAC,L4_NGC|cNAC,L4_NGC|cSTUT,L4_SBC|bNAC,L4_SBC|cAC,L4_SBC|dNAC,L4_DBC|bSTUT,L4_DBC|cIR,L4_DBC|cNAC,L4_LBC|dSTUT,L4_LBC|cIR,L4_MC|bIR,L4_MC|bSTUT,L4_MC|cSTUT,L4_NBC|bIR,L4_NBC|bSTUT,L4_NBC|cSTUT,L4_NBC|dSTUT,L4_LBC|bIR,L4_LBC|bSTUT,L4_MC|cIR
SS4,sst,INH,0.0,0.0,0.0,0.0,0.0026881720430107,0.0026881720430107,0.0107689801238188,0.008080808080808,0.014793092212447,0.0,0.0026881720430107,0.0053763440860215,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0215379602476376,0.0121212121212121,0.0134571521668295,0.0376669925057021,0.0497556207233626,0.032258064516129,0.0808080808080808,0.0363636363636363,0.0808080808080808,0.0807917888563049,0.0336102965135223,0.0026881720430107,0.0026881720430107,0.0026881720430107,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0121212121212121,0.0121212121212121,0.0148093841642228,0.036298468556533,0.0053763440860215,0.0727272727272727,0.0767676767676767,0.0403551645487129,0.0053763440860215,0.0026881720430107,0.0295698924731182,0.032258064516129,0.0121212121212121,0.008080808080808,0.0323232323232323
SS4,vip,INH,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0,0.0,0.0106030656124289,0.0155187959495075,0.0007716049382716,0.0155187959495075,0.0106030656124289,0.0049157303370786,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0584165626300457,0.022463240393952,0.0442415730337078,0.030751491191566,0.0023148148148148,0.0,0.0136894853655153,0.003858024691358,0.0136894853655153,0.0030864197530864,0.0,0.0617890830905812,0.0617890830905812,0.0617890830905812,0.0318091968372867,0.0007716049382716,0.0007716049382716,0.0,0.0,0.0178336107643223,0.0178336107643223,0.0,0.0344101123595505,0.0359533222360937,0.0344101123595505,0.0,0.0491573033707865,0.0136894853655153,0.0136894853655153,0.0,0.0568733527535025,0.0617890830905812,0.0049157303370786,0.0,0.0141749895963379,0.0149465945346095,0.003858024691358
SSp-bfd4,approx_lamp5,INH,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0,0.0,0.0112359550561797,0.0168539325842696,0.0,0.0168539325842696,0.0112359550561797,0.0056179775280898,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0561797752808988,0.0168539325842696,0.0505617977528089,0.0280898876404494,0.0,0.0,0.0112359550561797,0.0,0.0112359550561797,0.0,0.0,0.0617977528089887,0.0617977528089887,0.0617977528089887,0.0337078651685393,0.0,0.0,0.0,0.0,0.0168539325842696,0.0168539325842696,0.0,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0,0.0561797752808988,0.0112359550561797,0.0112359550561797,0.0,0.0561797752808988,0.0617977528089887,0.0056179775280898,0.0,0.0056179775280898,0.0056179775280898,0.0
SSp-bfd4,pv,INH,0.0,0.0,0.0,0.0,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0,0.0184331797235023,0.0,0.0046082949308755,0.0121320417567948,0.0,0.0,0.0,0.0,0.0160193109501865,0.0,0.0160193109501865,0.0553308881156149,0.097557917176087,0.065017712153986,0.0340136054421768,0.0068027210884353,0.0340136054421768,0.0507539421298473,0.0779021285933728,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0480579328505595,0.0,0.0,0.0029154518950437,0.0029154518950437,0.0,0.0,0.0254866923728016,0.0,0.0,0.0046082949308755,0.0621022602589422,0.0160193109501865,0.0340136054421768,0.0340136054421768,0.0686855387316216,0.0092165898617511,0.0046082949308755,0.0798457631900686,0.0844540581209442,0.0,0.0,0.0068027210884353
SSp-bfd4,sst,INH,0.0,0.0,0.0,0.0,0.0026881720430107,0.0026881720430107,0.0107689801238188,0.008080808080808,0.014793092212447,0.0,0.0026881720430107,0.0053763440860215,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0215379602476376,0.0121212121212121,0.0134571521668295,0.0376669925057021,0.0497556207233626,0.032258064516129,0.0808080808080808,0.0363636363636363,0.0808080808080808,0.0807917888563049,0.0336102965135223,0.0026881720430107,0.0026881720430107,0.0026881720430107,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0121212121212121,0.0121212121212121,0.0148093841642228,0.036298468556533,0.0053763440860215,0.0727272727272727,0.0767676767676767,0.0403551645487129,0.0053763440860215,0.0026881720430107,0.0295698924731182,0.032258064516129,0.0121212121212121,0.008080808080808,0.0323232323232323
SSp-bfd4,vip,INH,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0,0.0,0.0106030656124289,0.0155187959495075,0.0007716049382716,0.0155187959495075,0.0106030656124289,0.0049157303370786,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0584165626300457,0.022463240393952,0.0442415730337078,0.030751491191566,0.0023148148148148,0.0,0.0136894853655153,0.003858024691358,0.0136894853655153,0.0030864197530864,0.0,0.0617890830905812,0.0617890830905812,0.0617890830905812,0.0318091968372867,0.0007716049382716,0.0007716049382716,0.0,0.0,0.0178336107643223,0.0178336107643223,0.0,0.0344101123595505,0.0359533222360937,0.0344101123595505,0.0,0.0491573033707865,0.0136894853655153,0.0136894853655153,0.0,0.0568733527535025,0.0617890830905812,0.0049157303370786,0.0,0.0141749895963379,0.0149465945346095,0.003858024691358
SSp-ll4,approx_lamp5,INH,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0,0.0,0.0112359550561797,0.0168539325842696,0.0,0.0168539325842696,0.0112359550561797,0.0056179775280898,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0561797752808988,0.0168539325842696,0.0505617977528089,0.0280898876404494,0.0,0.0,0.0112359550561797,0.0,0.0112359550561797,0.0,0.0,0.0617977528089887,0.0617977528089887,0.0617977528089887,0.0337078651685393,0.0,0.0,0.0,0.0,0.0168539325842696,0.0168539325842696,0.0,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0,0.0561797752808988,0.0112359550561797,0.0112359550561797,0.0,0.0561797752808988,0.0617977528089887,0.0056179775280898,0.0,0.0056179775280898,0.0056179775280898,0.0
SSp-ll4,pv,INH,0.0,0.0,0.0,0.0,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0,0.0184331797235023,0.0,0.0046082949308755,0.0121320417567948,0.0,0.0,0.0,0.0,0.0160193109501865,0.0,0.0160193109501865,0.0553308881156149,0.097557917176087,0.065017712153986,0.0340136054421768,0.0068027210884353,0.0340136054421768,0.0507539421298473,0.0779021285933728,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0480579328505595,0.0,0.0,0.0029154518950437,0.0029154518950437,0.0,0.0,0.0254866923728016,0.0,0.0,0.0046082949308755,0.0621022602589422,0.0160193109501865,0.0340136054421768,0.0340136054421768,0.0686855387316216,0.0092165898617511,0.0046082949308755,0.0798457631900686,0.0844540581209442,0.0,0.0,0.0068027210884353
SSp-ll4,sst,INH,0.0,0.0,0.0,0.0,0.0026881720430107,0.0026881720430107,0.0107689801238188,0.008080808080808,0.014793092212447,0.0,0.0026881720430107,0.0053763440860215,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0215379602476376,0.0121212121212121,0.0134571521668295,0.0376669925057021,0.0497556207233626,0.032258064516129,0.0808080808080808,0.0363636363636363,0.0808080808080808,0.0807917888563049,0.0336102965135223,0.0026881720430107,0.0026881720430107,0.0026881720430107,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0121212121212121,0.0121212121212121,0.0148093841642228,0.036298468556533,0.0053763440860215,0.0727272727272727,0.0767676767676767,0.0403551645487129,0.0053763440860215,0.0026881720430107,0.0295698924731182,0.032258064516129,0.0121212121212121,0.008080808080808,0.0323232323232323
SSp-ll4,vip,INH,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0,0.0,0.0106030656124289,0.0155187959495075,0.0007716049382716,0.0155187959495075,0.0106030656124289,0.0049157303370786,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0584165626300457,0.022463240393952,0.0442415730337078,0.030751491191566,0.0023148148148148,0.0,0.0136894853655153,0.003858024691358,0.0136894853655153,0.0030864197530864,0.0,0.0617890830905812,0.0617890830905812,0.0617890830905812,0.0318091968372867,0.0007716049382716,0.0007716049382716,0.0,0.0,0.0178336107643223,0.0178336107643223,0.0,0.0344101123595505,0.0359533222360937,0.0344101123595505,0.0,0.0491573033707865,0.0136894853655153,0.0136894853655153,0.0,0.0568733527535025,0.0617890830905812,0.0049157303370786,0.0,0.0141749895963379,0.0149465945346095,0.003858024691358
SSp-m4,approx_lamp5,INH,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0,0.0,0.0112359550561797,0.0168539325842696,0.0,0.0168539325842696,0.0112359550561797,0.0056179775280898,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0561797752808988,0.0168539325842696,0.0505617977528089,0.0280898876404494,0.0,0.0,0.0112359550561797,0.0,0.0112359550561797,0.0,0.0,0.0617977528089887,0.0617977528089887,0.0617977528089887,0.0337078651685393,0.0,0.0,0.0,0.0,0.0168539325842696,0.0168539325842696,0.0,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0,0.0561797752808988,0.0112359550561797,0.0112359550561797,0.0,0.0561797752808988,0.0617977528089887,0.0056179775280898,0.0,0.0056179775280898,0.0056179775280898,0.0
SSp-m4,pv,INH,0.0,0.0,0.0,0.0,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0,0.0184331797235023,0.0,0.0046082949308755,0.0121320417567948,0.0,0.0,0.0,0.0,0.0160193109501865,0.0,0.0160193109501865,0.0553308881156149,0.097557917176087,0.065017712153986,0.0340136054421768,0.0068027210884353,0.0340136054421768,0.0507539421298473,0.0779021285933728,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0480579328505595,0.0,0.0,0.0029154518950437,0.0029154518950437,0.0,0.0,0.0254866923728016,0.0,0.0,0.0046082949308755,0.0621022602589422,0.0160193109501865,0.0340136054421768,0.0340136054421768,0.0686855387316216,0.0092165898617511,0.0046082949308755,0.0798457631900686,0.0844540581209442,0.0,0.0,0.0068027210884353
SSp-m4,sst,INH,0.0,0.0,0.0,0.0,0.0026881720430107,0.0026881720430107,0.0107689801238188,0.008080808080808,0.014793092212447,0.0,0.0026881720430107,0.0053763440860215,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0215379602476376,0.0121212121212121,0.0134571521668295,0.0376669925057021,0.0497556207233626,0.032258064516129,0.0808080808080808,0.0363636363636363,0.0808080808080808,0.0807917888563049,0.0336102965135223,0.0026881720430107,0.0026881720430107,0.0026881720430107,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0121212121212121,0.0121212121212121,0.0148093841642228,0.036298468556533,0.0053763440860215,0.0727272727272727,0.0767676767676767,0.0403551645487129,0.0053763440860215,0.0026881720430107,0.0295698924731182,0.032258064516129,0.0121212121212121,0.008080808080808,0.0323232323232323
SSp-m4,vip,INH,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0,0.0,0.0106030656124289,0.0155187959495075,0.0007716049382716,0.0155187959495075,0.0106030656124289,0.0049157303370786,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0584165626300457,0.022463240393952,0.0442415730337078,0.030751491191566,0.0023148148148148,0.0,0.0136894853655153,0.003858024691358,0.0136894853655153,0.0030864197530864,0.0,0.0617890830905812,0.0617890830905812,0.0617890830905812,0.0318091968372867,0.0007716049382716,0.0007716049382716,0.0,0.0,0.0178336107643223,0.0178336107643223,0.0,0.0344101123595505,0.0359533222360937,0.0344101123595505,0.0,0.0491573033707865,0.0136894853655153,0.0136894853655153,0.0,0.0568733527535025,0.0617890830905812,0.0049157303370786,0.0,0.0141749895963379,0.0149465945346095,0.003858024691358
SSp-n4,approx_lamp5,INH,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0,0.0,0.0112359550561797,0.0168539325842696,0.0,0.0168539325842696,0.0112359550561797,0.0056179775280898,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0561797752808988,0.0168539325842696,0.0505617977528089,0.0280898876404494,0.0,0.0,0.0112359550561797,0.0,0.0112359550561797,0.0,0.0,0.0617977528089887,0.0617977528089887,0.0617977528089887,0.0337078651685393,0.0,0.0,0.0,0.0,0.0168539325842696,0.0168539325842696,0.0,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0,0.0561797752808988,0.0112359550561797,0.0112359550561797,0.0,0.0561797752808988,0.0617977528089887,0.0056179775280898,0.0,0.0056179775280898,0.0056179775280898,0.0
SSp-n4,pv,INH,0.0,0.0,0.0,0.0,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0,0.0184331797235023,0.0,0.0046082949308755,0.0121320417567948,0.0,0.0,0.0,0.0,0.0160193109501865,0.0,0.0160193109501865,0.0553308881156149,0.097557917176087,0.065017712153986,0.0340136054421768,0.0068027210884353,0.0340136054421768,0.0507539421298473,0.0779021285933728,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0480579328505595,0.0,0.0,0.0029154518950437,0.0029154518950437,0.0,0.0,0.0254866923728016,0.0,0.0,0.0046082949308755,0.0621022602589422,0.0160193109501865,0.0340136054421768,0.0340136054421768,0.0686855387316216,0.0092165898617511,0.0046082949308755,0.0798457631900686,0.0844540581209442,0.0,0.0,0.0068027210884353
SSp-n4,sst,INH,0.0,0.0,0.0,0.0,0.0026881720430107,0.0026881720430107,0.0107689801238188,0.008080808080808,0.014793092212447,0.0,0.0026881720430107,0.0053763440860215,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0215379602476376,0.0121212121212121,0.0134571521668295,0.0376669925057021,0.0497556207233626,0.032258064516129,0.0808080808080808,0.0363636363636363,0.0808080808080808,0.0807917888563049,0.0336102965135223,0.0026881720430107,0.0026881720430107,0.0026881720430107,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0121212121212121,0.0121212121212121,0.0148093841642228,0.036298468556533,0.0053763440860215,0.0727272727272727,0.0767676767676767,0.0403551645487129,0.0053763440860215,0.0026881720430107,0.0295698924731182,0.032258064516129,0.0121212121212121,0.008080808080808,0.0323232323232323
SSp-n4,vip,INH,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0,0.0,0.0106030656124289,0.0155187959495075,0.0007716049382716,0.0155187959495075,0.0106030656124289,0.0049157303370786,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0584165626300457,0.022463240393952,0.0442415730337078,0.030751491191566,0.0023148148148148,0.0,0.0136894853655153,0.003858024691358,0.0136894853655153,0.0030864197530864,0.0,0.0617890830905812,0.0617890830905812,0.0617890830905812,0.0318091968372867,0.0007716049382716,0.0007716049382716,0.0,0.0,0.0178336107643223,0.0178336107643223,0.0,0.0344101123595505,0.0359533222360937,0.0344101123595505,0.0,0.0491573033707865,0.0136894853655153,0.0136894853655153,0.0,0.0568733527535025,0.0617890830905812,0.0049157303370786,0.0,0.0141749895963379,0.0149465945346095,0.003858024691358
SSp-tr4,approx_lamp5,INH,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0,0.0,0.0112359550561797,0.0168539325842696,0.0,0.0168539325842696,0.0112359550561797,0.0056179775280898,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0561797752808988,0.0168539325842696,0.0505617977528089,0.0280898876404494,0.0,0.0,0.0112359550561797,0.0,0.0112359550561797,0.0,0.0,0.0617977528089887,0.0617977528089887,0.0617977528089887,0.0337078651685393,0.0,0.0,0.0,0.0,0.0168539325842696,0.0168539325842696,0.0,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0,0.0561797752808988,0.0112359550561797,0.0112359550561797,0.0,0.0561797752808988,0.0617977528089887,0.0056179775280898,0.0,0.0056179775280898,0.0056179775280898,0.0
SSp-tr4,pv,INH,0.0,0.0,0.0,0.0,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0,0.0184331797235023,0.0,0.0046082949308755,0.0121320417567948,0.0,0.0,0.0,0.0,0.0160193109501865,0.0,0.0160193109501865,0.0553308881156149,0.097557917176087,0.065017712153986,0.0340136054421768,0.0068027210884353,0.0340136054421768,0.0507539421298473,0.0779021285933728,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0480579328505595,0.0,0.0,0.0029154518950437,0.0029154518950437,0.0,0.0,0.0254866923728016,0.0,0.0,0.0046082949308755,0.0621022602589422,0.0160193109501865,0.0340136054421768,0.0340136054421768,0.0686855387316216,0.0092165898617511,0.0046082949308755,0.0798457631900686,0.0844540581209442,0.0,0.0,0.0068027210884353
SSp-tr4,sst,INH,0.0,0.0,0.0,0.0,0.0026881720430107,0.0026881720430107,0.0107689801238188,0.008080808080808,0.014793092212447,0.0,0.0026881720430107,0.0053763440860215,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0215379602476376,0.0121212121212121,0.0134571521668295,0.0376669925057021,0.0497556207233626,0.032258064516129,0.0808080808080808,0.0363636363636363,0.0808080808080808,0.0807917888563049,0.0336102965135223,0.0026881720430107,0.0026881720430107,0.0026881720430107,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0121212121212121,0.0121212121212121,0.0148093841642228,0.036298468556533,0.0053763440860215,0.0727272727272727,0.0767676767676767,0.0403551645487129,0.0053763440860215,0.0026881720430107,0.0295698924731182,0.032258064516129,0.0121212121212121,0.008080808080808,0.0323232323232323
SSp-tr4,vip,INH,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0,0.0,0.0106030656124289,0.0155187959495075,0.0007716049382716,0.0155187959495075,0.0106030656124289,0.0049157303370786,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0584165626300457,0.022463240393952,0.0442415730337078,0.030751491191566,0.0023148148148148,0.0,0.0136894853655153,0.003858024691358,0.0136894853655153,0.0030864197530864,0.0,0.0617890830905812,0.0617890830905812,0.0617890830905812,0.0318091968372867,0.0007716049382716,0.0007716049382716,0.0,0.0,0.0178336107643223,0.0178336107643223,0.0,0.0344101123595505,0.0359533222360937,0.0344101123595505,0.0,0.0491573033707865,0.0136894853655153,0.0136894853655153,0.0,0.0568733527535025,0.0617890830905812,0.0049157303370786,0.0,0.0141749895963379,0.0149465945346095,0.003858024691358
SSp-ul4,approx_lamp5,INH,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0,0.0,0.0112359550561797,0.0168539325842696,0.0,0.0168539325842696,0.0112359550561797,0.0056179775280898,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0561797752808988,0.0168539325842696,0.0505617977528089,0.0280898876404494,0.0,0.0,0.0112359550561797,0.0,0.0112359550561797,0.0,0.0,0.0617977528089887,0.0617977528089887,0.0617977528089887,0.0337078651685393,0.0,0.0,0.0,0.0,0.0168539325842696,0.0168539325842696,0.0,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0,0.0561797752808988,0.0112359550561797,0.0112359550561797,0.0,0.0561797752808988,0.0617977528089887,0.0056179775280898,0.0,0.0056179775280898,0.0056179775280898,0.0
SSp-ul4,pv,INH,0.0,0.0,0.0,0.0,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0,0.0184331797235023,0.0,0.0046082949308755,0.0121320417567948,0.0,0.0,0.0,0.0,0.0160193109501865,0.0,0.0160193109501865,0.0553308881156149,0.097557917176087,0.065017712153986,0.0340136054421768,0.0068027210884353,0.0340136054421768,0.0507539421298473,0.0779021285933728,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0480579328505595,0.0,0.0,0.0029154518950437,0.0029154518950437,0.0,0.0,0.0254866923728016,0.0,0.0,0.0046082949308755,0.0621022602589422,0.0160193109501865,0.0340136054421768,0.0340136054421768,0.0686855387316216,0.0092165898617511,0.0046082949308755,0.0798457631900686,0.0844540581209442,0.0,0.0,0.0068027210884353
SSp-ul4,sst,INH,0.0,0.0,0.0,0.0,0.0026881720430107,0.0026881720430107,0.0107689801238188,0.008080808080808,0.014793092212447,0.0,0.0026881720430107,0.0053763440860215,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0215379602476376,0.0121212121212121,0.0134571521668295,0.0376669925057021,0.0497556207233626,0.032258064516129,0.0808080808080808,0.0363636363636363,0.0808080808080808,0.0807917888563049,0.0336102965135223,0.0026881720430107,0.0026881720430107,0.0026881720430107,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0121212121212121,0.0121212121212121,0.0148093841642228,0.036298468556533,0.0053763440860215,0.0727272727272727,0.0767676767676767,0.0403551645487129,0.0053763440860215,0.0026881720430107,0.0295698924731182,0.032258064516129,0.0121212121212121,0.008080808080808,0.0323232323232323
SSp-ul4,vip,INH,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0,0.0,0.0106030656124289,0.0155187959495075,0.0007716049382716,0.0155187959495075,0.0106030656124289,0.0049157303370786,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0584165626300457,0.022463240393952,0.0442415730337078,0.030751491191566,0.0023148148148148,0.0,0.0136894853655153,0.003858024691358,0.0136894853655153,0.0030864197530864,0.0,0.0617890830905812,0.0617890830905812,0.0617890830905812,0.0318091968372867,0.0007716049382716,0.0007716049382716,0.0,0.0,0.0178336107643223,0.0178336107643223,0.0,0.0344101123595505,0.0359533222360937,0.0344101123595505,0.0,0.0491573033707865,0.0136894853655153,0.0136894853655153,0.0,0.0568733527535025,0.0617890830905812,0.0049157303370786,0.0,0.0141749895963379,0.0149465945346095,0.003858024691358
SSp-un4,approx_lamp5,INH,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0,0.0,0.0112359550561797,0.0168539325842696,0.0,0.0168539325842696,0.0112359550561797,0.0056179775280898,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0561797752808988,0.0168539325842696,0.0505617977528089,0.0280898876404494,0.0,0.0,0.0112359550561797,0.0,0.0112359550561797,0.0,0.0,0.0617977528089887,0.0617977528089887,0.0617977528089887,0.0337078651685393,0.0,0.0,0.0,0.0,0.0168539325842696,0.0168539325842696,0.0,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0,0.0561797752808988,0.0112359550561797,0.0112359550561797,0.0,0.0561797752808988,0.0617977528089887,0.0056179775280898,0.0,0.0056179775280898,0.0056179775280898,0.0
SSp-un4,pv,INH,0.0,0.0,0.0,0.0,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0,0.0184331797235023,0.0,0.0046082949308755,0.0121320417567948,0.0,0.0,0.0,0.0,0.0160193109501865,0.0,0.0160193109501865,0.0553308881156149,0.097557917176087,0.065017712153986,0.0340136054421768,0.0068027210884353,0.0340136054421768,0.0507539421298473,0.0779021285933728,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0480579328505595,0.0,0.0,0.0029154518950437,0.0029154518950437,0.0,0.0,0.0254866923728016,0.0,0.0,0.0046082949308755,0.0621022602589422,0.0160193109501865,0.0340136054421768,0.0340136054421768,0.0686855387316216,0.0092165898617511,0.0046082949308755,0.0798457631900686,0.0844540581209442,0.0,0.0,0.0068027210884353
SSp-un4,sst,INH,0.0,0.0,0.0,0.0,0.0026881720430107,0.0026881720430107,0.0107689801238188,0.008080808080808,0.014793092212447,0.0,0.0026881720430107,0.0053763440860215,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0121212121212121,0.0215379602476376,0.0121212121212121,0.0134571521668295,0.0376669925057021,0.0497556207233626,0.032258064516129,0.0808080808080808,0.0363636363636363,0.0808080808080808,0.0807917888563049,0.0336102965135223,0.0026881720430107,0.0026881720430107,0.0026881720430107,0.0161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0121212121212121,0.0121212121212121,0.0148093841642228,0.036298468556533,0.0053763440860215,0.0727272727272727,0.0767676767676767,0.0403551645487129,0.0053763440860215,0.0026881720430107,0.0295698924731182,0.032258064516129,0.0121212121212121,0.008080808080808,0.0323232323232323
SSp-un4,vip,INH,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0049157303370786,0.0,0.0,0.0106030656124289,0.0155187959495075,0.0007716049382716,0.0155187959495075,0.0106030656124289,0.0049157303370786,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0344101123595505,0.0584165626300457,0.022463240393952,0.0442415730337078,0.030751491191566,0.0023148148148148,0.0,0.0136894853655153,0.003858024691358,0.0136894853655153,0.0030864197530864,0.0,0.0617890830905812,0.0617890830905812,0.0617890830905812,0.0318091968372867,0.0007716049382716,0.0007716049382716,0.0,0.0,0.0178336107643223,0.0178336107643223,0.0,0.0344101123595505,0.0359533222360937,0.0344101123595505,0.0,0.0491573033707865,0.0136894853655153,0.0136894853655153,0.0,0.0568733527535025,0.0617890830905812,0.0049157303370786,0.0,0.0141749895963379,0.0149465945346095,0.003858024691358
SSp4,approx_lamp5,INH,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0056179775280898,0.0,0.0,0.0112359550561797,0.0168539325842696,0.0,0.0168539325842696,0.0112359550561797,0.0056179775280898,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0561797752808988,0.0168539325842696,0.0505617977528089,0.0280898876404494,0.0,0.0,0.0112359550561797,0.0,0.0112359550561797,0.0,0.0,0.0617977528089887,0.0617977528089887,0.0617977528089887,0.0337078651685393,0.0,0.0,0.0,0.0,0.0168539325842696,0.0168539325842696,0.0,0.0393258426966292,0.0393258426966292,0.0393258426966292,0.0,0.0561797752808988,0.0112359550561797,0.0112359550561797,0.0,0.0561797752808988,0.0617977528089887,0.0056179775280898,0.0,0.0056179775280898,0.0056179775280898,0.0
SSp4,pv,INH,0.0,0.0,0.0,0.0,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0,0.0184331797235023,0.0,0.0046082949308755,0.0121320417567948,0.0,0.0,0.0,0.0,0.0160193109501865,0.0,0.0160193109501865,0.0553308881156149,0.097557917176087,0.065017712153986,0.0340136054421768,0.0068027210884353,0.0340136054421768,0.0507539421298473,0.0779021285933728,0.0046082949308755,0.0046082949308755,0.0046082949308755,0.0480579328505595,0.0,0.0,0.0029154518950437,0.0029154518950437,0.0,0.0,0.0254866923728016,0.0,0.0,0.0046082949308755,0.0621022602589422,0.0160193109501865,0.0340136054421768,0.0340136054421768,0.0686855387316216,0.0092165898617511,0.0046082949308755,0.0798457631900686,0.0844540581209442,0.0,0.0,0.0068027210884353
